"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test","This will create new categories","SUCCESS","2022-06-07T16:09:23.375+01:00[Europe/London]","0.0","8.41"
"Utilities CRU test","Creating utilities version ","SUCCESS","2022-06-07T16:09:23.375+01:00[Europe/London]","0.0","7.25"
"Utilities CRU test","Get the Health check of Application","SUCCESS","2022-06-07T16:09:30.656+01:00[Europe/London]","0.0","0.22"
"Categories CRUD test"," Verify the categories by name: {0}","SUCCESS","2022-06-07T16:09:31.828+01:00[Europe/London]","0.0","0.27"
"Categories CRUD test"," Update categories with id{0}, name: {0}, Id{0}","SUCCESS","2022-06-07T16:09:32.094+01:00[Europe/London]","0.0","0.16"
"Categories CRUD test","Delete the product by ID{0}","SUCCESS","2022-06-07T16:09:32.250+01:00[Europe/London]","0.0","0.61"
"Products CRUD test","This will create new product","SUCCESS","2022-06-07T16:09:33.943+01:00[Europe/London]","0.0","0.11"
"Products CRUD test","Verify if the product was added to the application","SUCCESS","2022-06-07T16:09:34.052+01:00[Europe/London]","0.0","0.05"
"Products CRUD test","Update product id ","SUCCESS","2022-06-07T16:09:34.099+01:00[Europe/London]","0.0","0.08"
"Products CRUD test","Delete the product by ID","SUCCESS","2022-06-07T16:09:34.177+01:00[Europe/London]","0.0","0.08"
"Services CRUD test with steps","This will create a New Service","SUCCESS","2022-06-07T16:09:34.321+01:00[Europe/London]","0.0","0.08"
"Services CRUD test with steps","Verify if the Product was added to the application","SUCCESS","2022-06-07T16:09:34.399+01:00[Europe/London]","0.0","0.03"
"Services CRUD test with steps","Update the product information","SUCCESS","2022-06-07T16:09:34.430+01:00[Europe/London]","0.0","0.08"
"Services CRUD test with steps","Delete the product by ID","SUCCESS","2022-06-07T16:09:34.509+01:00[Europe/London]","0.0","0.06"
"Stores CRUD test with steps","This will create a new Stores","SUCCESS","2022-06-07T16:09:34.649+01:00[Europe/London]","0.0","0.08"
"Stores CRUD test with steps","Verify if the store information was added into the application","SUCCESS","2022-06-07T16:09:34.743+01:00[Europe/London]","0.0","0.03"
"Stores CRUD test with steps","Update the product information","SUCCESS","2022-06-07T16:09:34.775+01:00[Europe/London]","0.0","0.08"
"Stores CRUD test with steps","Delete the product by ID","SUCCESS","2022-06-07T16:09:34.855+01:00[Europe/London]","0.0","0.08"
